# IODP371 site U1508 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
181.7772	1.8187	1.6340
181.9296	1.8171	1.6341
182.0820	1.8080	1.6342
182.2344	1.8092	1.6343
182.3868	1.8115	1.6344
182.5392	1.8169	1.6345
182.6916	1.8055	1.6346
182.8440	1.7969	1.6347
182.9964	1.7991	1.6348
183.1488	1.8076	1.6349
183.3012	1.8106	1.6350
183.4536	1.8138	1.6351
183.6060	1.8196	1.6353
183.7584	1.8115	1.6354
183.9108	1.7929	1.6355
184.0632	1.7937	1.6356
184.2156	1.7886	1.6357
184.3680	1.7919	1.6358
184.5204	1.8001	1.6359
184.6728	1.8135	1.6360
184.8252	1.8149	1.6361
184.9776	1.8077	1.6362
185.1300	1.7963	1.6363
185.2824	1.7907	1.6364
185.4348	1.7862	1.6365
185.5872	1.7720	1.6366
185.7396	1.7673	1.6367
185.8920	1.7672	1.6368
186.0444	1.7733	1.6369
186.1968	1.7753	1.6371
186.3492	1.7772	1.6372
186.5016	1.7856	1.6373
186.6540	1.7995	1.6374
186.8064	1.8159	1.6375
186.9588	1.8265	1.6376
187.1112	1.8337	1.6377
187.2636	1.8180	1.6378
187.4160	1.8122	1.6379
187.5684	1.8055	1.6380
187.7208	1.8027	1.6381
187.8732	1.7953	1.6382
188.0256	1.7971	1.6383
188.1780	1.7952	1.6384
188.3304	1.7937	1.6385
188.4828	1.8019	1.6386
188.6352	1.8117	1.6388
188.7876	1.8210	1.6389
188.9400	1.8251	1.6390
189.0924	1.8240	1.6391
189.2448	1.8256	1.6392
189.3972	1.8196	1.6393
189.5496	1.8029	1.6394
189.7020	1.7975	1.6395
189.8544	1.8050	1.6396
190.0068	1.8085	1.6397
190.1592	1.8124	1.6398
190.3116	1.8366	1.6399
190.4640	1.8472	1.6400
190.6164	1.8594	1.6402
190.7688	1.8550	1.6403
190.9212	1.8387	1.6404
191.0736	1.8352	1.6405
191.2260	1.8389	1.6406
191.3784	1.8452	1.6407
191.5308	1.8489	1.6408
191.6832	1.8526	1.6409
191.8356	1.8606	1.6410
191.9880	1.8536	1.6411
192.1404	1.8489	1.6412
192.2928	1.8588	1.6413
192.4452	1.8607	1.6415
192.5976	1.8531	1.6416
192.7500	1.8496	1.6417
192.9024	1.8352	1.6418
193.0548	1.8321	1.6419
193.2072	1.8285	1.6420
193.3596	1.8200	1.6421
193.5120	1.8113	1.6422
193.6644	1.8167	1.6423
193.8168	1.8187	1.6424
193.9692	1.8197	1.6425
194.1216	1.8303	1.6426
194.2740	1.8369	1.6428
194.4264	1.8355	1.6429
194.5788	1.8240	1.6430
194.7312	1.8194	1.6431
194.8836	1.8241	1.6432
195.0360	1.8315	1.6433
195.1884	1.8458	1.6434
195.3408	1.8522	1.6435
195.4932	1.8561	1.6436
195.6456	1.8667	1.6437
195.7980	1.8732	1.6439
195.9504	1.8763	1.6440
196.1028	1.8783	1.6441
196.2552	1.8787	1.6442
196.4076	1.8814	1.6443
196.5600	1.8830	1.6444
196.7124	1.8833	1.6445
196.8648	1.8957	1.6446
197.0172	1.8880	1.6447
197.1696	1.8862	1.6448
197.3220	1.8831	1.6450
197.4744	1.8817	1.6451
197.6268	1.8840	1.6452
197.7792	1.8875	1.6453
197.9316	1.8950	1.6454
198.0840	1.9030	1.6455
198.2364	1.8979	1.6456
198.3888	1.8944	1.6457
198.5412	1.8792	1.6458
198.6936	1.8795	1.6459
198.8460	1.8827	1.6461
198.9984	1.8897	1.6462
199.1508	1.8899	1.6463
199.3032	1.9016	1.6464
199.4556	1.9046	1.6465
199.6080	1.9050	1.6466
199.7604	1.9048	1.6467
199.9128	1.9014	1.6468
200.0652	1.9043	1.6469
200.2176	1.9029	1.6471
200.3700	1.8918	1.6472
200.5224	1.8936	1.6473
200.6748	1.8953	1.6474
200.8272	1.8980	1.6475
200.9796	1.9015	1.6476
201.1320	1.9043	1.6477
201.2844	1.9234	1.6478
201.4368	1.9361	1.6480
201.5892	1.9493	1.6481
201.7416	1.9597	1.6482
201.8940	1.9639	1.6483
202.0464	1.9464	1.6484
202.1988	1.9370	1.6485
202.3512	1.9125	1.6486
202.5036	1.9051	1.6487
202.6560	1.9075	1.6488
202.8084	1.9176	1.6490
202.9608	1.9282	1.6491
203.1132	1.9292	1.6492
203.2656	1.9302	1.6493
203.4180	1.9318	1.6494
203.5704	1.9336	1.6495
203.7228	1.9399	1.6496
203.8752	1.9430	1.6498
204.0276	1.9368	1.6499
204.1800	1.9338	1.6500
204.3324	1.9237	1.6501
204.4848	1.9186	1.6502
204.6372	1.9114	1.6503
